TASK_RULE_ID,TASK_ID,RULE_NAME,RULE_DESCRIPTION,RULE_MODE,START_EXPRESSION,START_EXPRESSION_CONVERT,START_EXPRESSION_ID,START_EXPRESSION_PARAM,END_EXPRESSION,END_EXPRESSION_CONVERT,END_EXPRESSION_ID,END_EXPRESSION_PARAM,JUDGE_EXPRESSION,JUDGE_EXPRESSION_CONVERT,JUDGE_EXPRESSION_ID,JUDGE_EXPRESSION_PARAM,RULE_TYPE,RULE_END_TIME,RBF_BEFORE_TIME,RBF_AFTER_TIME,RULE_SIGNALS,OTHER_SIGNALS
3879,719,四驱模式效果不佳_VDC激活_横摆角速度_偏离目标,VDC激活但是横摆角速度 一直偏离目标,1,"VMCActSts==2
","VMCActSts==2
",,,,,,,"EdgeRising(abs(IMUYawRtPri-VeVDCR_drad_TarYawRate )>0.4)
","EdgeRising(11,abs(IMUYawRtPri-VeVDCR_drad_TarYawRate )>0.4)
",,,1,,60.000,60.000,"159573,170162,178664","159573,159577,159607,159857,159970,160303,163785,163789,163817,168368,178462,178635,178638,178654"
3880,719,四驱参考车速估算错误_1,加速过程中参考车速估计错误,1,"AccEffPos > 10
","AccEffPos > 10
",,,,,,,"EdgeRising(PrplSysRefVehSpd>190 ||PrplSysRefVehSpd< -2)
","EdgeRising(11,PrplSysRefVehSpd>190 ||PrplSysRefVehSpd< -2)
",,,1,,60.000,60.000,"160303,170160","159573,159577,159607,159857,159970,160303,163785,163789,163817,168368,178462,178635,178638,178654"
3881,719,四驱参考车速估算错误_2,减速过程中参考车速估计错误,1,"Debounce(BrkPdlPos > 35,8)
","Debounce(9,BrkPdlPos > 35,8)
",,,,,,,"EdgeRising(PrplSysRefVehSpd>20 ||PrplSysRefVehSpd< -2)
","EdgeRising(11,PrplSysRefVehSpd>20 ||PrplSysRefVehSpd< -2)
",,,1,,60.000,60.000,"170160,159970","159577,159607,159970,160303,168368,178462,159857,178654,178638,178635,163789,163785,163817,159573"
3598,711,SOC虚低监控__debounce_10min,SOC虚低监控__debounce_10min,1,"HVBSOC_BatSOC<15
","HVBSOC_BatSOC<15
",,,,,,,"HiVltgBatMinCellVltg>3.3&&Debounce((abs(HiVltgBatPrcdCurr)<5),600)
","HiVltgBatMinCellVltg>3.3&&Debounce(35,(abs(HiVltgBatPrcdCurr)<5),600)
",,,1,,60.000,60.000,"159857,162181,163962","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3599,711,单体(电压)离群,平坦区小电流下的单体差异情况监控,1,"HVBSOC_BatSOC<90&&HVBSOC_BatSOC>10&&HiVltgBatMaxCellVltg<3.55
","HVBSOC_BatSOC<90&&HVBSOC_BatSOC>10&&HiVltgBatMaxCellVltg<3.55
",,,,,,,"abs(HiVltgBatPrcdCurr)<20&&((HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg)>0.02)
","abs(HiVltgBatPrcdCurr)<20&&((HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg)>0.02)
",,,1,,60.000,60.000,"159857,162181,163960,163962","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3600,711,单体(电压)离群_V2_无前置条件,单体(电压)离群_V2_无前置条件,1,,,,,,,,,"abs(HiVltgBatPrcdCurr)<20&&((HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg)>0.02)
","abs(HiVltgBatPrcdCurr)<20&&((HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg)>0.02)
",,,1,,60.000,60.000,"162181,163960,163962","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3601,711,功率异常监控_1,触发限功率,1,"HVBatCntctrStsPriAuth==2
","HVBatCntctrStsPriAuth==2
",,,,,,,"EdgeRising(VeBCPR_b_CellRstrctChrg==1)||EdgeRising(VeBCPR_b_CellRstrctDschrg==1)
","EdgeRising(11,VeBCPR_b_CellRstrctChrg==1)||EdgeRising(54,VeBCPR_b_CellRstrctDschrg==1)
",,,1,,60.000,60.000,"160965,178225,178232","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3602,711,功率异常监控_2,Regen大电流过充风险监控,1,"abs(HiVltgBatPrcdCurr)>5&& VeBSER_b_HV_BP_ChrgProcAtv==0&& HiVltgBatMaxCellVltg>3.55
","abs(HiVltgBatPrcdCurr)>5&& VeBSER_b_HV_BP_ChrgProcAtv==0&& HiVltgBatMaxCellVltg>3.55
",,,,,,,"time_accum()
","time_accum()
",,,0,,,,"163960,166904,178259",
3603,711,功率异常监控_3,Regen大电流过充风险监控,1,"abs(HiVltgBatPrcdCurr)>5&& VeBSER_b_HV_BP_ChrgProcAtv==0&& HiVltgBatMaxCellVltg>3.55
","abs(HiVltgBatPrcdCurr)>5&& VeBSER_b_HV_BP_ChrgProcAtv==0&& HiVltgBatMaxCellVltg>3.55
",,,,,,,"range_max_min(HiVltgBatMaxCellVltg,HiVltgBatAvgTemp,HiVltgBatMinCellVltg,HiVltgBatPrcdCurr,HiVltgBatAvgTemp)
","range_max_min(HiVltgBatMaxCellVltg,HiVltgBatAvgTemp,HiVltgBatMinCellVltg,HiVltgBatPrcdCurr,HiVltgBatAvgTemp)
",,,0,,,,"162181,163577,163960,163962,178259","159857,160134,160366,162178,162181,163577,163960,163962"
3604,711,单体(温度)离群_1,电池模组温差异常监控,1,"(HiVltgBatMaxTemp-HiVltgBatMinTemp)>5
","(HiVltgBatMaxTemp-HiVltgBatMinTemp)>5
",,,,,,,"time_accum()
","time_accum()
",,,0,,,,"166907,166908",
3605,711,单体(温度)离群_2,电池模组温差异常监控,1,"(HiVltgBatMaxTemp-HiVltgBatMinTemp)>5
","(HiVltgBatMaxTemp-HiVltgBatMinTemp)>5
",,,,,,,"range_max_min((HiVltgBatMaxTemp-HiVltgBatMinTemp),HiVltgBatMinCellVltg,HVBSOC_BatSOC,HiVltgBatPrcdCurr,HiVltgBatAvgTemp)
","range_max_min((HiVltgBatMaxTemp-HiVltgBatMinTemp),HiVltgBatMinCellVltg,HVBSOC_BatSOC,HiVltgBatPrcdCurr,HiVltgBatAvgTemp)
",,,0,,,,"163962,166904,166907,166908,166910,167798",
3606,711,SOC_Ahr与PACK SOC误差监控,SOC_Ahr与PACK SOC误差监控,1,abs(VaBSER_Pct_HV_SOC_Ahr[0]-HVBSOC_BatSOC)>3,abs(VaBSER_Pct_HV_SOC_Ahr[0]-HVBSOC_BatSOC)>3,,,,,,,"range_max_min((VaBSER_Pct_HV_SOC_Ahr[0]-HVBSOC_BatSOC),HiVltgBatMinCellVltg,VaBSER_Pct_HV_SOC_Ahr[0],HiVltgBatPrcdCurr)","range_max_min((VaBSER_Pct_HV_SOC_Ahr[0]-HVBSOC_BatSOC),HiVltgBatMinCellVltg,VaBSER_Pct_HV_SOC_Ahr[0],HiVltgBatPrcdCurr)",,,0,,,,"159857,162181,163962,178242","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3607,711,SOC_Ahr与SOC_V误差监控,SOC_Ahr与SOC_V误差监控,1,abs(VaBSER_Pct_HV_SOC_Ahr[0]-EaBSER_Pct_HV_SOCV_NVM[0]*100)>3,abs(VaBSER_Pct_HV_SOC_Ahr[0]-EaBSER_Pct_HV_SOCV_NVM[0]*100)>3,,,,,,,"range_max_min((VaBSER_Pct_HV_SOC_Ahr[0]-EaBSER_Pct_HV_SOCV_NVM$0*100),HiVltgBatMinCellVltg,VaBSER_Pct_HV_SOC_Ahr[0],HiVltgBatPrcdCurr)","range_max_min((VaBSER_Pct_HV_SOC_Ahr[0]-EaBSER_Pct_HV_SOCV_NVM[0]*100),HiVltgBatMinCellVltg,VaBSER_Pct_HV_SOC_Ahr[0],HiVltgBatPrcdCurr)",,,0,,,,"162181,163962,178223,178242","159857,160134,160366,162178,162181,163577,163960,163962"
3911,748,SOC小于13%监控,SOC小于13%监控,1,,,,,,,,,EdgeRising(HVBSOC_BatSOC<13),"EdgeRising(11,HVBSOC_BatSOC<13)",,,1,,600.000,600.000,167798,
3593,711,SOC满充跳变,SOC满充跳变,1,"VeBSER_b_ChrgTermReqStart==1
","VeBSER_b_ChrgTermReqStart==1
",,,,,,,"range_max_min(HVBSOC_BatSOC)
","range_max_min(HVBSOC_BatSOC)
",,,0,,,,"167798,178229",
3594,711,SOC跳变,SOC跳变,1,"VehSpdAvgDrvn_1<5
","VehSpdAvgDrvn_1<5
",,,,,,,"abs(diff(HVBSOC_BatSOC))>3
","abs(diff(9,HVBSOC_BatSOC))>3
",,,1,,60.000,60.000,"159857,160366","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3595,711,SOC虚高监控_debounce_3min,SOC虚高监控_debounce_3min,1,"HVBSOC_BatSOC>30
","HVBSOC_BatSOC>30
",,,,,,,"HiVltgBatMinCellVltg<3.26&&Debounce((abs(HiVltgBatPrcdCurr)<5),180)
","HiVltgBatMinCellVltg<3.26&&Debounce(36,(abs(HiVltgBatPrcdCurr)<5),180)
",,,1,,60.000,60.000,"159857,162181,163962","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3596,711,SOC虚高监控_debounce_10min,SOC虚高监控_debounce_10min,1,"HVBSOC_BatSOC>30
","HVBSOC_BatSOC>30
",,,,,,,"HiVltgBatMinCellVltg<3.26&&Debounce((abs(HiVltgBatPrcdCurr)<5),600)
","HiVltgBatMinCellVltg<3.26&&Debounce(36,(abs(HiVltgBatPrcdCurr)<5),600)
",,,1,,60.000,60.000,"159857,162181,163962","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3597,711,SOC虚低监控__debounce_3min,SOC虚低监控__debounce_3min,1,"HVBSOC_BatSOC<15
","HVBSOC_BatSOC<15
",,,,,,,"HiVltgBatMinCellVltg>3.3&&Debounce((abs(HiVltgBatPrcdCurr)<5),180)
","HiVltgBatMinCellVltg>3.3&&Debounce(35,(abs(HiVltgBatPrcdCurr)<5),180)
",,,1,,60.000,60.000,"159857,162181,163962","159857,160111,160134,160366,162178,162181,163577,163960,163962"
3912,748,12V补电期间12V锂电池状态监控,12V补电期间12V锂电池状态监控,1,HVBatCntctrStsPriAuth==2,HVBatCntctrStsPriAuth==2,,,,,,,"range_max_min(LIB1PackExtrnVltg,LIB1CellMaxVltg,
LIB1MinTemp,LIB1StatOfChrg,
LIB1CellMinVltg,LIB1PackIntrnlVltg,
OtsAirTmpCrVal,SysPwrMd,HVBSOC_BatSOC,OtsAirTmpCrVal)","range_max_min(LIB1PackExtrnVltg,LIB1CellMaxVltg,
LIB1MinTemp,LIB1StatOfChrg,
LIB1CellMinVltg,LIB1PackIntrnlVltg,
OtsAirTmpCrVal,SysPwrMd,HVBSOC_BatSOC,OtsAirTmpCrVal)",,,0,,,,"168517,159783,159784,159787,159794,159806,159818,168077,168231,167798",
4741,915,电机B工作状态统计_100-200NM,MtrB扭矩在100-200NM：时长统计+温度统计,1,"Debounce(MtrBTorqAchvd>100&&MtrBTorqAchvd<=200,1)","Debounce(9,MtrBTorqAchvd>100&&MtrBTorqAchvd<=200,1)",,,,,,,"range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"163785,163797,163804,159573,163817,163816,166630,168368,160303,159857",
4742,915,电机B工作状态统计_200-330NM,MtrB扭矩在200-330NM：时长统计+温度统计,1,"Debounce(MtrBTorqAchvd>200&&MtrBTorqAchvd<=330,1)","Debounce(9,MtrBTorqAchvd>200&&MtrBTorqAchvd<=330,1)",,,,,,,"range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"163785,163797,163804,159573,163817,163816,166630,168368,160303,159857",
4743,915,电机B工作状态统计_转速在0-5000,MtrB转速在0-5000:时长统计+温度统计,1,"Debounce(PrplSysMtrBSpdAuth_Public>0&&PrplSysMtrBSpdAuth_Public<=5000,1)","Debounce(9,PrplSysMtrBSpdAuth_Public>0&&PrplSysMtrBSpdAuth_Public<=5000,1)",,,,,,,"range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"166630,163797,163804,159573,163817,163816,163785,168368,160303,159857",
4744,915,电机B工作状态统计_转速在5000-10000,MtrB转速在5000-10000:时长统计+温度统计,1,PrplSysMtrBSpdAuth_Public>5000&&PrplSysMtrBSpdAuth_Public<=10000,PrplSysMtrBSpdAuth_Public>5000&&PrplSysMtrBSpdAuth_Public<=10000,,,,,,,"range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"159573,159857,160303,163785,163797,163804,163816,163817,166630,168368",
4745,915,电机B工作状态统计_转速在10000-16000,MtrB转速在10000-16000:时长统计+温度统计,1,PrplSysMtrBSpdAuth_Public>10000&&PrplSysMtrBSpdAuth_Public<=16000,PrplSysMtrBSpdAuth_Public>10000&&PrplSysMtrBSpdAuth_Public<=16000,,,,,,,"range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtCTemp,PrplSysMtrCRotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"159573,159857,160303,163785,163797,163804,163816,163817,166630,168368",
4746,915,电机A工作状态统计_0-30NM,MtrA扭矩在0-30NM：时长统计+温度统计,1,"Debounce(MtrATorqAchvd>0&&MtrATorqAchvd<=30,1)","Debounce(9,MtrATorqAchvd>0&&MtrATorqAchvd<=30,1)",,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"163789,163496,163510,159573,163817,163816,163785,166630,168368,160303,159857",
4747,915,电机A工作状态统计_30-50NM,MtrA扭矩在30-50NM：时长统计+温度统计,1,"Debounce(MtrATorqAchvd>30&&MtrATorqAchvd<=50,1)","Debounce(9,MtrATorqAchvd>30&&MtrATorqAchvd<=50,1)",,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"163789,163496,163510,159573,163817,163816,163785,166630,168368,160303,159857",
4748,915,电机A工作状态统计_50-100NM,MtrA扭矩在50-100NM：时长统计+温度统计,1,"Debounce(MtrATorqAchvd>50&&MtrATorqAchvd<=100,1)","Debounce(9,MtrATorqAchvd>50&&MtrATorqAchvd<=100,1)",,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"163789,163496,163510,159573,163817,163816,163785,166630,168368,160303,159857",
4749,915,电机A工作状态统计_100-115NM,MtrA扭矩在100-115NM：时长统计+温度统计,1,"Debounce(MtrATorqAchvd>100&&MtrATorqAchvd<=115,1)","Debounce(9,MtrATorqAchvd>100&&MtrATorqAchvd<=115,1)",,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"163789,163496,163510,159573,163817,163816,163785,166630,168368,160303,159857",
4750,915,电机A工作状态统计_转速在0-5000,MtrA转速在0-5000:时长统计+温度统计,1,"Debounce(PrplSysMtrASpdAuth>0&&PrplSysMtrASpdAuth<=5000,1)","Debounce(9,PrplSysMtrASpdAuth>0&&PrplSysMtrASpdAuth<=5000,1)",,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"166625,163496,163510,159573,163817,163816,163785,166630,168368,160303,159857",
4751,915,电机A工作状态统计_转速在5000-10000,MtrA转速在5000-10000:时长统计+温度统计,1,PrplSysMtrASpdAuth>5000&&PrplSysMtrASpdAuth<=10000,PrplSysMtrASpdAuth>5000&&PrplSysMtrASpdAuth<=10000,,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"159573,159857,160303,163496,163510,163785,163816,163817,166625,166630,168368",
4752,915,电机A工作状态统计_转速在10000-14000,MtrA转速在10000-14000:时长统计+温度统计,1,PrplSysMtrASpdAuth>10000&&PrplSysMtrASpdAuth<=14000,PrplSysMtrASpdAuth>10000&&PrplSysMtrASpdAuth<=14000,,,,,,,"range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)","range_max_min(PrplSysInvrtATemp,ElecMtrARotrTemp,IMUYawRtPri,MtrCTorqAchvd,PrplSysMtrCSpdAuth,MtrBTorqAchvd,PrplSysMtrBSpdAuth_Public,EngActStdyStTorq,AccEffPos,HVBSOC_BatSOC)",,,0,,,,"159573,159857,160303,163496,163510,163785,163816,163817,166625,166630,168368",
4966,1006,低SOC小于9%监控,低SOC小于9%监控,1,,,,,,,,,EdgeRising(HVBSOC_BatSOC<10),"EdgeRising(11,HVBSOC_BatSOC<10)",,,1,,120.000,120.000,167798,"163962,166901,166904,166910,168077,168078,168231,168517"
4967,1006,单体电压过小,"单体电压过小(3.19,3,2.5,1.9)",1,,,,,,,,,"EdgeRising((HiVltgBatMinCellVltg<3.19)||
(HiVltgBatMinCellVltg<2.5)||(HiVltgBatMinCellVltg<1.9))","EdgeRising(11,(HiVltgBatMinCellVltg<3.19)||
(HiVltgBatMinCellVltg<2.5)||(HiVltgBatMinCellVltg<1.9))",,,1,,120.000,120.000,163962,"166901,166904,166910,167798,168077,168231"
4968,1006,12V补电时长统计,12V补电时长统计,1,HVBatCntctrStsPriAuth==2,HVBatCntctrStsPriAuth==2,,,,,,,"range_max_min(HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,
HVBSOC_BatSOC,HiVltgBatAvgTemp,HiVltgBatPrcdCurr,
TrnsShftLvrPos_ECP_H1,HVBI_BatPackPrcdVltg,
OtsAirTmpCrVal,
abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg),
TrnOilTmp,PrplSysInvrtBTemp,PrplSysInvrtATemp,
TrnOilTmp,SysPwrMd)","range_max_min(HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,
HVBSOC_BatSOC,HiVltgBatAvgTemp,HiVltgBatPrcdCurr,
TrnsShftLvrPos_ECP_H1,HVBI_BatPackPrcdVltg,
OtsAirTmpCrVal,
abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg),
TrnOilTmp,PrplSysInvrtBTemp,PrplSysInvrtATemp,
TrnOilTmp,SysPwrMd)",,,0,,,,"163464,163496,163960,163962,166901,166904,166910,167798,168077,168231,168314,168326,168517",
4969,1006,12V补电时长统计,12V补电时长统计,1,HVBatCntctrStsPriAuth==2,HVBatCntctrStsPriAuth==2,,,,,,,"range_max_min(HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,
HVBSOC_BatSOC,HiVltgBatAvgTemp,HiVltgBatPrcdCurr,
TrnsShftLvrPos_ECP_H1,HVBI_BatPackPrcdVltg,
OtsAirTmpCrVal,
abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg),
TrnOilTmp,PrplSysInvrtBTemp,PrplSysInvrtATemp,
TrnOilTmp,SysPwrMd)","range_max_min(HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,
HVBSOC_BatSOC,HiVltgBatAvgTemp,HiVltgBatPrcdCurr,
TrnsShftLvrPos_ECP_H1,HVBI_BatPackPrcdVltg,
OtsAirTmpCrVal,
abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg),
TrnOilTmp,PrplSysInvrtBTemp,PrplSysInvrtATemp,
TrnOilTmp,SysPwrMd)",,,0,,,,"163464,163496,163960,163962,166901,166904,166910,167798,168077,168231,168314,168326,168517",
4970,1006,MtrB 负对地电压统计-继电器断开,MtrB 负对地电压统计-继电器断开,1,"Debounce(HVBatCntctrStsPriAuth==0
&&HVMtrBNegChsGndVltgAuth<=70,0.5)","Debounce(9,HVBatCntctrStsPriAuth==0
&&HVMtrBNegChsGndVltgAuth<=70,0.5)",,,,,,,"range_max_min(HiVltgBatMinCellVltg,HVBSOC_BatSOC
,HiVltgBatAvgTemp,HVMtrBNegChsGndVltgAuth,
HVMtrBPosChsGndVltgAuth,HVBI_BatPackPrcdVltg)","range_max_min(HiVltgBatMinCellVltg,HVBSOC_BatSOC
,HiVltgBatAvgTemp,HVMtrBNegChsGndVltgAuth,
HVMtrBPosChsGndVltgAuth,HVBI_BatPackPrcdVltg)",,,0,,,,"163962,164662,164665,166901,166910,167798,168517",
4971,1006,单体电压小于2.5,单体电压小于2.5,1,,,,,,,,,HiVltgBatMinCellVltg<2.5,HiVltgBatMinCellVltg<2.5,,,1,,600.000,600.000,163962,"159855,166901,166904,166910,167798,168077,168231,168517"
4965,1006,监控异常12V补电请求,监控异常12V补电请求,1,HVBatCntctrStsPriAuth==0,HVBatCntctrStsPriAuth==0,,,,,,,"cnt_accum(EdgeRising((LoVltg12VBatMntModeReqd_1 == 1)|| 
(LoVltg12VBatMntModeReqd==1)))","cnt_accum(EdgeRising(21,(LoVltg12VBatMntModeReqd_1 == 1)|| 
(LoVltg12VBatMntModeReqd==1)))",,,0,,,,"159855,167531,168517",
5101,1122,测试Latch_On_With_Reset函数,测试Latch_On_With_Reset函数,1,"Latch_On_With_Reset(AccEffPos>30,PrplsnSysAtv==0)","Latch_On_With_Reset(20,AccEffPos>30,PrplsnSysAtv==0)",,,EdgeRising(AccEffPos>80),"EdgeRising(11,AccEffPos>80)",,,"range_max_min(AccEffPos,BrkPdlPos,HVBSOC_BatSOC,VeCOMR_phi_StrWhAng,VeASRR_M_TqSetFrntAxle,VeASRR_M_TqSetReAxle,VeASRR_e_VehSlipSt,MtrATorqAchvd,MtrBTorqAchvd,MtrCTorqAchvd)","range_max_min(AccEffPos,BrkPdlPos,HVBSOC_BatSOC,VeCOMR_phi_StrWhAng,VeASRR_M_TqSetFrntAxle,VeASRR_M_TqSetReAxle,VeASRR_e_VehSlipSt,MtrATorqAchvd,MtrBTorqAchvd,MtrCTorqAchvd)",,,0,,,,"162239,162243,166987,167798,167878,168254,168270,178634,178635,178638,178654",
4863,961,继电器断开状态12V补电请求监测,继电器断开状态12V补电请求监测,1,HVBatCntctrStsPriAuth == 0,HVBatCntctrStsPriAuth == 0,,,,,,,"cnt_accum(Debounce(EdgeRising(LoVltg12VBatMntModeReqd_1 == 1)&&(HVBatCntctrStsPriAuth == 0), 0.6))","cnt_accum(Debounce(19,EdgeRising(30,LoVltg12VBatMntModeReqd_1 == 1)&&(HVBatCntctrStsPriAuth == 0), 0.6))",,,0,,,,"159855,160965",
4866,962,PSA前后能量值、里程值计算,PSA前后能量值、里程值计算,1,"VehSpdAvgDrvn_1<5
","VehSpdAvgDrvn_1<5
",,,,,,,"abs(diff(HiVltgBatPrplRng))>5
","abs(diff(9,HiVltgBatPrplRng))>5
",,,1,,60.000,60.000,"160366,163858","159857,160134,160366,162178,162181,163577,163960,163962"
